cases_methyl,sample_type,cg00632019,cg00636124,cg01755539,cg02411582,cg02871891,cg03101936,cg06329197,cg07361448,cg08572679,cg09140090,cg09632858,cg10214171,cg10221365,cg16752029,cg24206694,cg24705286,cg27118526
TCGA-2Y-A9H1-01A-11D-A383-05,Primary Tumor,0.932283604,0.303128444,0.016596297,0.738933616,0.883151332,0.513962751,0.069607456,0.905431174,0.019419196,0.010367072,0.941513974,0.025721483,0.671709768,0.103470874,0.075968505,0.145169003,0.042407039
TCGA-2Y-A9H2-01A-12D-A383-05,Primary Tumor,0.927538129,0.241194464,0.016637762,0.763446833,0.685027118,0.650114876,0.078101446,0.915578165,0.021293183,0.014063153,0.935011608,0.041115455,0.852646485,0.054750059,0.099343426,0.15596382,0.165105318
TCGA-2Y-A9H3-01A-11D-A383-05,Primary Tumor,0.925097312,0.177243361,0.015319125,0.72590554,0.816713567,0.753911225,0.071250321,0.898116239,0.020770485,0.012334629,0.931491196,0.036740307,0.883446395,0.046756555,0.079625556,0.095688005,0.021505234
TCGA-2Y-A9H4-01A-11D-A383-05,Primary Tumor,0.936216093,0.254150784,0.01765433,0.707951879,0.900966488,0.40264925,0.106419136,0.897464712,0.021065817,0.012836817,0.940221205,0.036300366,0.904036145,0.099745898,0.039373343,0.12488524,0.032088648
TCGA-2Y-A9H5-01A-11D-A383-05,Primary Tumor,0.939251502,0.26954524,0.01678623,0.683194708,0.822922499,0.582060854,0.079925019,0.90092772,0.018713439,0.011631219,0.939368936,0.043874062,0.872924811,0.09466602,0.082726717,0.138164106,0.082633064
TCGA-2Y-A9H6-01A-11D-A39G-05,Primary Tumor,0.893163577,0.071693617,0.017180341,0.782111018,0.870860941,0.623370175,0.038866517,0.907070496,0.020556894,0.012180997,0.935285638,0.040795196,0.921223817,0.055502276,0.037812796,0.069069099,0.035502218
TCGA-2Y-A9H7-01A-11D-A39G-05,Primary Tumor,0.904410143,0.04753625,0.019471891,0.797842517,0.920969328,0.78297792,0.03645439,0.924744426,0.020473884,0.014596357,0.945641625,0.027784001,0.922629126,0.03980571,0.055405223,0.063698406,0.019721023
TCGA-2Y-A9H8-01A-11D-A39G-05,Primary Tumor,0.846225485,0.150671452,0.017451618,0.314301098,0.787226294,0.333635639,0.028213686,0.898871588,0.021532443,0.015045379,0.931389357,0.026216594,0.8615498,0.038932008,0.029718098,0.071744913,0.022708493
TCGA-2Y-A9H9-01A-21D-A39G-05,Primary Tumor,0.8937359,0.031509408,0.017365797,0.626900335,0.885332129,0.349937819,0.040983974,0.919423835,0.01945575,0.012839684,0.946387084,0.029843861,0.608092038,0.055404431,0.04895272,0.075796165,0.017911026
TCGA-2Y-A9HA-01A-11D-A39G-05,Primary Tumor,0.847944768,0.060467608,0.016589366,0.583988149,0.760999102,0.347575939,0.062370283,0.840463614,0.020427108,0.011960323,0.913778739,0.028558703,0.516988594,0.063383035,0.044896197,0.071770513,0.019635442
TCGA-2Y-A9HB-01A-11D-A39G-05,Primary Tumor,0.925737308,0.154350855,0.017965474,0.747012994,0.887744682,0.63588949,0.042393844,0.922463067,0.020631373,0.013184558,0.936963976,0.051843088,0.633099526,0.065512553,0.076588934,0.091198841,0.025425492
TCGA-3K-AAZ8-01A-12D-A39G-05,Primary Tumor,0.928189099,0.257302189,0.015737215,0.80976391,0.937603393,0.810116796,0.032976166,0.919428681,0.016622409,0.010762416,0.947489619,0.03231951,0.919454435,0.087482071,0.036570593,0.095957024,0.023016778
TCGA-4R-AA8I-01A-11D-A383-05,Primary Tumor,0.947289305,0.286161624,0.014114422,0.516640144,0.657113499,0.309789671,0.070368605,0.907230196,0.016578973,0.011843956,0.951148892,0.043311687,0.795403005,0.083459038,0.055547823,0.124974169,0.023893945
TCGA-5C-A9VG-01A-11D-A36Y-05,Primary Tumor,0.863328682,0.095204923,0.016413853,0.742766736,0.814946037,0.759386344,0.037168793,0.906473177,0.020496363,0.014742356,0.923535927,0.045663263,0.854965732,0.065196044,0.042361996,0.081558523,0.018947423
TCGA-5C-A9VH-01A-11D-A36Y-05,Primary Tumor,0.861179765,0.01543144,0.016857636,0.798450276,0.922306406,0.487755167,0.029945203,0.904880039,0.019298577,0.012062956,0.936664246,0.039062413,0.643107196,0.090697447,0.020904069,0.069001915,0.019467255
TCGA-5C-AAPD-01A-21D-A39G-05,Primary Tumor,0.888033282,0.176555387,0.017048736,0.325771922,0.5821566,0.407787466,0.059897684,0.861405116,0.019597978,0.011026244,0.907702371,0.03597668,0.802068014,0.053224391,0.04789818,0.079830018,0.021120254
TCGA-5R-AA1C-01A-11D-A40S-05,Primary Tumor,0.874151897,0.055448599,0.016329077,0.876052464,0.925447188,0.856200158,0.069407727,0.956772227,0.019291903,0.014188955,0.955503791,0.071237942,0.915604062,0.057255276,0.072675545,0.078265024,0.018067905
TCGA-5R-AA1D-01A-11D-A383-05,Primary Tumor,0.910676563,0.262948197,0.018804128,0.617749306,0.776640516,0.461392383,0.095693753,0.908543285,0.0212451,0.011462441,0.937363363,0.028470668,0.881430146,0.11121734,0.116713396,0.137462936,0.037778916
TCGA-5R-AAAM-01A-12D-A40S-05,Primary Tumor,0.82724852,0.039300124,0.016926988,0.54462898,0.491153053,0.399690257,0.034819806,0.936338321,0.020793354,0.013828218,0.941564851,0.055175944,0.717157731,0.042198697,0.031299401,0.16086385,0.02595827
TCGA-BC-4072-01B-11D-A153-05,Primary Tumor,0.937868592,0.105112107,0.016046765,0.409987236,0.683457708,0.491124032,0.064320828,0.882303125,0.014719399,0.009183915,0.934538674,0.065157322,0.936121882,0.085775654,0.034469821,0.084286814,0.015733153
TCGA-BC-4073-01B-02D-A132-05,Primary Tumor,0.938294808,0.197548818,0.014151908,0.472984593,0.452388376,0.474535351,0.055217931,0.707039032,0.015681895,0.009772522,0.933178573,0.050150963,0.650513184,0.080070976,0.058450901,0.085757716,0.018781506
TCGA-BC-A10Q-01A-11D-A132-05,Primary Tumor,0.890923272,0.103962795,0.019193587,0.896486856,0.658948022,0.929839602,0.062887331,0.951818736,0.021221774,0.013837285,0.963289688,0.061355536,0.898387836,0.098616558,0.089675435,0.085781848,0.023001352
TCGA-BC-A10Q-11A-11D-A132-05,Solid Tissue Normal,0.888008711,0.05106716,0.014645317,0.403915662,0.341430627,0.444540032,0.058934582,0.939608061,0.023474441,0.01386274,0.943647608,0.039439663,0.902959469,0.068313315,0.063845763,0.064557235,0.01371728
TCGA-BC-A10R-01A-11D-A132-05,Primary Tumor,0.928481192,0.123833844,0.015087248,0.736613768,0.276075031,0.732462754,0.051300767,0.912346963,0.015853072,0.009652237,0.949471957,0.048005968,0.836115407,0.080333695,0.04946181,0.074414034,0.018124871
TCGA-BC-A10R-11A-11D-A132-05,Solid Tissue Normal,0.926069005,0.073944483,0.0192539,0.391546558,0.440561128,0.49018095,0.062136016,0.906161516,0.01599507,0.010676521,0.938858841,0.0672965,0.902150514,0.054932902,0.053858704,0.068014692,0.014641809
TCGA-BC-A10S-01A-22D-A132-05,Primary Tumor,0.947911381,0.039418195,0.015419319,0.749275608,0.877047301,0.401471373,0.049316207,0.928619039,0.012539643,0.012343318,0.943471519,0.048069518,0.89672972,0.060977445,0.043452628,0.09176027,0.013958303
TCGA-BC-A10S-11A-11D-A132-05,Solid Tissue Normal,0.845464917,0.101149606,0.201551265,0.371784105,0.446935031,0.282082439,0.04121553,0.798776727,0.059582226,0.063309931,0.906194258,0.041559459,0.858152406,0.076505405,0.073640824,0.113509408,0.024185943
TCGA-BC-A10T-01A-11D-A132-05,Primary Tumor,0.94854117,0.072880458,0.012846819,0.740863354,0.860642915,0.557268804,0.0532858,0.913987793,0.017399852,0.009432333,0.948104715,0.063145936,0.802331682,0.077169208,0.046937876,0.073367387,0.015170254
TCGA-BC-A10T-11A-11D-A132-05,Solid Tissue Normal,0.951274179,0.137153397,0.015968685,0.40674985,0.372593142,0.381123928,0.053725433,0.899509712,0.016521986,0.01264698,0.954748449,0.043032511,0.529768595,0.070774408,0.044693652,0.044326415,0.01648634
TCGA-BC-A10U-01A-11D-A132-05,Primary Tumor,0.8856588,0.039802561,0.01958791,0.503252746,0.858975212,0.375545477,0.03666644,0.827297178,0.012783979,0.015872537,0.926955697,0.035738385,0.728833497,0.111868893,0.033833954,0.064716729,0.012781975
TCGA-BC-A10U-11A-11D-A132-05,Solid Tissue Normal,0.942399122,0.201579693,0.013819031,0.486816885,0.416592448,0.445834769,0.035151952,0.91453291,0.015878545,0.008679068,0.945801296,0.044997706,0.534805707,0.070432426,0.04588218,0.069096115,0.016219464
TCGA-BC-A10W-01A-11D-A132-05,Primary Tumor,0.945082569,0.052090062,0.011235272,0.642031822,0.816327421,0.550372808,0.04598187,0.88001494,0.014686262,0.010820979,0.948942355,0.063274169,0.947699259,0.081956875,0.045722657,0.095441754,0.014412561
TCGA-BC-A10W-11A-11D-A132-05,Solid Tissue Normal,0.939890049,0.142726311,0.015623764,0.585927479,0.589602796,0.455641104,0.046727112,0.897554782,0.01841369,0.013191207,0.944632508,0.070366565,0.642192824,0.065169061,0.055096029,0.092226745,0.018967879
TCGA-BC-A10X-01A-11D-A132-05,Primary Tumor,0.944251882,0.131417914,0.014419853,0.500314097,0.446895135,0.480516779,0.039449063,0.924485055,0.015228531,0.008787884,0.953954314,0.061202727,0.632975984,0.069568612,0.030835871,0.068503451,0.016717536
TCGA-BC-A10X-11A-11D-A132-05,Solid Tissue Normal,0.910378983,0.060999927,0.018449575,0.50324259,0.466892378,0.520313559,0.08212324,0.946706292,0.020413514,0.011483593,0.967359266,0.043731611,0.610732571,0.082146462,0.072712429,0.136747142,0.026080902
TCGA-BC-A10Y-01A-11D-A132-05,Primary Tumor,0.943735223,0.106191513,0.015912526,0.653767873,0.252556304,0.244351791,0.065292915,0.886561346,0.016512006,0.0113937,0.928807465,0.048901191,0.226624885,0.072922822,0.061940058,0.064242855,0.044898075
TCGA-BC-A10Y-11A-11D-A132-05,Solid Tissue Normal,0.936877828,0.115078674,0.012920642,0.397548326,0.322895928,0.392154931,0.07168769,0.897269547,0.015303589,0.015276566,0.967656147,0.036743701,0.453188588,0.108719,0.038284984,0.106039966,0.01797025
TCGA-BC-A10Z-01A-11D-A132-05,Primary Tumor,0.716856757,0.164210836,0.016665363,0.552772449,0.393715483,0.188205525,0.056474572,0.915232572,0.018916106,0.011997736,0.926446388,0.032903684,0.869066494,0.074557269,0.051118254,0.06014818,0.016703549
TCGA-BC-A10Z-11A-11D-A132-05,Solid Tissue Normal,0.913322676,0.063044597,0.01438162,0.436041919,0.424011841,0.440595428,0.055101493,0.91780013,0.017213834,0.009143138,0.960965346,0.048795133,0.710396456,0.053620323,0.032327596,0.082672401,0.01811262
TCGA-BC-A110-01A-11D-A132-05,Primary Tumor,0.906462855,0.089582337,0.014145033,0.416594325,0.429927629,0.478213691,0.057209149,0.900036656,0.01817993,0.009857817,0.946047472,0.044258774,0.512949462,0.105075218,0.062538212,0.067537645,0.012473715
TCGA-BC-A110-11A-11D-A132-05,Solid Tissue Normal,0.909567242,0.088475131,0.014727285,0.286870343,0.322418651,0.38060464,0.044996255,0.843387138,0.015862973,0.010419315,0.942677911,0.054135744,0.473464206,0.073416158,0.046839763,0.109395892,0.018863728
TCGA-BC-A112-01A-11D-A132-05,Primary Tumor,0.945078136,0.088948623,0.013446488,0.739058465,0.58932834,0.390634619,0.069929047,0.903541578,0.016948189,0.010556177,0.929631103,0.047783684,0.866847219,0.057097733,0.047871569,0.089515965,0.018287388
TCGA-BC-A112-11A-11D-A132-05,Solid Tissue Normal,0.898625033,0.092734013,0.027048138,0.47473552,0.383753645,0.420060491,0.070021158,0.874112617,0.032107061,0.018816062,0.903061582,0.081946487,0.669005225,0.069843966,0.061353512,0.108122202,0.023694971
TCGA-BC-A216-01A-11D-A153-05,Primary Tumor,0.935911161,0.048385228,0.012000276,0.394013272,0.365966941,0.330488092,0.068709198,0.768070904,0.014054733,0.009920492,0.933489021,0.046998298,0.915906457,0.082446901,0.064408719,0.076309132,0.017503122
TCGA-BC-A216-11A-11D-A153-05,Solid Tissue Normal,0.933697484,0.105060168,0.013188041,0.423827254,0.413093157,0.428768316,0.058866658,0.921797548,0.017652255,0.013393243,0.944191401,0.056321788,0.694843484,0.081439283,0.058382493,0.08245535,0.017687313
TCGA-BC-A217-01A-11D-A153-05,Primary Tumor,0.900332623,0.115073445,0.016215817,0.617357684,0.20899427,0.256150775,0.041133952,0.918541524,0.019842758,0.011556372,0.921175534,0.048701077,0.31743605,0.069113248,0.054420773,0.054250472,0.017066322
TCGA-BC-A3KF-01A-11D-A20Z-05,Primary Tumor,0.913739544,0.142685107,0.016044299,0.616169125,0.861929825,0.309038556,0.052435862,0.917111006,0.016863991,0.009285304,0.950726341,0.055630459,0.566642143,0.080600743,0.054546261,0.069123605,0.01773774
TCGA-BC-A3KG-01A-11D-A20Z-05,Primary Tumor,0.876234474,0.127807733,0.014935809,0.79187965,0.762021577,0.423531124,0.068739872,0.911616797,0.018624158,0.009567302,0.851452277,0.041356761,0.225917204,0.073975203,0.091593728,0.090616909,0.040477372
TCGA-BC-A5W4-01A-11D-A28Y-05,Primary Tumor,0.893539858,0.278132945,0.024486358,0.758222444,0.928714417,0.315620693,0.035051927,0.946094234,0.025984565,0.016870117,0.94945215,0.034791764,0.713193768,0.079584724,0.031373841,0.122714744,0.020142786
TCGA-BC-A69H-01A-11D-A30Y-05,Primary Tumor,0.913962449,0.242966306,0.015911877,0.395857322,0.913016071,0.76945815,0.07248664,0.918162936,0.018143775,0.010904523,0.942433193,0.026253185,0.909936806,0.059233582,0.064564044,0.083966084,0.017224133
TCGA-BC-A69I-01A-11D-A30Y-05,Primary Tumor,0.895226657,0.055748343,0.014082678,0.744719915,0.917626488,0.432275586,0.024277665,0.909533586,0.01687267,0.01284412,0.934173774,0.02794416,0.927219675,0.049812363,0.066608278,0.123760763,0.015449338
TCGA-BC-A8YO-01A-11D-A36Y-05,Primary Tumor,0.870930912,0.033260899,0.016069304,0.661304378,0.861137115,0.290996001,0.05966445,0.918803852,0.017775688,0.013598895,0.948576032,0.047073866,0.909626906,0.051990088,0.027216407,0.080132713,0.021678925
TCGA-BD-A2L6-01A-11D-A20Z-05,Primary Tumor,0.866821022,0.138060444,0.017295822,0.714454699,0.510523694,0.231982213,0.026026675,0.951135382,0.018781559,0.009586485,0.923266936,0.04780046,0.633466031,0.062173056,0.027592309,0.061109573,0.021554281
TCGA-BD-A2L6-11A-21D-A20Z-05,Solid Tissue Normal,0.919792899,0.100166763,0.017300034,0.505841051,0.488607736,0.474011686,0.064654001,0.882976984,0.018328065,0.013309396,0.926688603,0.035796014,0.888149425,0.080586189,0.055176112,0.070480394,0.022158064
TCGA-BD-A3EP-01A-11D-A22H-05,Primary Tumor,0.914914028,0.015376594,0.018027856,0.69291008,0.829401128,0.553551646,0.033457076,0.945526256,0.017987759,0.010273164,0.956854806,0.033997382,0.389687332,0.047479588,0.030176365,0.05372808,0.018888141
TCGA-BD-A3EP-11A-12D-A22H-05,Solid Tissue Normal,0.946276981,0.013425467,0.014736443,0.420889057,0.414043989,0.425258183,0.039243157,0.913698064,0.015550795,0.010621217,0.952546359,0.044424142,0.492584934,0.063803034,0.037666352,0.063699978,0.017574923
TCGA-BD-A3ER-01A-11D-A20Z-05,Primary Tumor,0.935157925,0.149414205,0.015696481,0.752892446,0.820820492,0.4589787,0.041576457,0.921054602,0.017260592,0.009192894,0.953268686,0.038863251,0.706776166,0.065403129,0.056008173,0.056676824,0.018550059
TCGA-BW-A5NO-01A-11D-A27W-05,Primary Tumor,0.861783537,0.020095611,0.016387237,0.434514117,0.358457531,0.311547864,0.030169665,0.866838418,0.020222944,0.011345724,0.940927623,0.031396554,0.904330653,0.05146517,0.031825397,0.058626104,0.016069022
TCGA-BW-A5NP-01A-11D-A27W-05,Primary Tumor,0.914558732,0.014911801,0.019852794,0.688624826,0.931840467,0.736765411,0.02807633,0.94014263,0.022213546,0.01460559,0.946573856,0.033713547,0.870533127,0.050347892,0.023734328,0.053412385,0.015295066
TCGA-BW-A5NQ-01A-11D-A27W-05,Primary Tumor,0.908721217,0.018025263,0.018780116,0.653240843,0.846839522,0.780748074,0.033545487,0.903207678,0.020547948,0.012968658,0.941260902,0.032082689,0.707674569,0.070756081,0.037924417,0.049896398,0.020267683
TCGA-CC-5258-01A-01D-A132-05,Primary Tumor,0.877729295,0.094280722,0.017683422,0.708207349,0.889158404,0.830680179,0.060760968,0.903448693,0.017276473,0.013419809,0.959541803,0.054175186,0.893255931,0.088122695,0.03290388,0.138830053,0.018969615
TCGA-CC-5259-01A-31D-A20Z-05,Primary Tumor,0.922600808,0.203448855,0.016430168,0.56647408,0.876480797,0.634588826,0.050137868,0.883247377,0.019801852,0.012652643,0.944018553,0.053466199,0.740884252,0.055688132,0.035936491,0.080631758,0.022274655
TCGA-CC-5260-01A-01D-A132-05,Primary Tumor,0.926208244,0.104864159,0.021772913,0.723919463,0.799954077,0.849509757,0.057368415,0.894069679,0.034628934,0.017262087,0.943773847,0.062047735,0.895654288,0.095298697,0.089363275,0.056017857,0.022274573
TCGA-CC-5261-01A-01D-A132-05,Primary Tumor,0.936594109,0.151094972,0.013997624,0.785978468,0.878126154,0.732990877,0.056424749,0.918479247,0.016611948,0.01159101,0.956335182,0.043188987,0.922299675,0.128271189,0.059347517,0.081486254,0.033833705
TCGA-CC-5262-01A-01D-A132-05,Primary Tumor,0.934399782,0.127821217,0.015673213,0.732905726,0.825386632,0.655463566,0.060682994,0.913897889,0.015451884,0.011078048,0.946577598,0.048840322,0.928353645,0.092491625,0.045628433,0.066618938,0.021131105
TCGA-CC-5263-01A-01D-A132-05,Primary Tumor,0.918325342,0.246878089,0.018027557,0.711853858,0.884968533,0.708685374,0.071912596,0.954804516,0.019044046,0.013804979,0.96499484,0.055976281,0.694628653,0.137949036,0.056268828,0.110048876,0.017432039
TCGA-CC-5264-01A-01D-A132-05,Primary Tumor,0.949417855,0.262531464,0.017805161,0.76308024,0.850313336,0.353797293,0.096347875,0.866991801,0.014174161,0.010786126,0.942906621,0.048608598,0.877239476,0.137930628,0.086973539,0.118097132,0.031385912
TCGA-CC-A123-01A-11D-A132-05,Primary Tumor,0.932968884,0.063612742,0.016868079,0.607041878,0.90825957,0.629107526,0.035860828,0.937918392,0.020478528,0.013141375,0.931583708,0.031527555,0.795463026,0.075213233,0.036556952,0.062298677,0.033789821
TCGA-CC-A1HT-01A-11D-A132-05,Primary Tumor,0.914483993,0.120944782,0.016609863,0.75468241,0.845969198,0.763751722,0.048838143,0.920493545,0.018928501,0.01182259,0.956709156,0.051879462,0.861761729,0.102636164,0.079999903,0.141542048,0.019461724
TCGA-CC-A3M9-01A-11D-A20Z-05,Primary Tumor,0.913955291,0.074902318,0.017043118,0.833871112,0.708918079,0.594042052,0.059600275,0.938700374,0.020532361,0.011312655,0.943329883,0.048782567,0.914116863,0.129005585,0.074604379,0.085892417,0.019916381
TCGA-CC-A3MA-01A-11D-A20Z-05,Primary Tumor,0.939843039,0.191426709,0.013725828,0.53583288,0.654863975,0.794008839,0.052443471,0.907692086,0.015611821,0.008516074,0.94313973,0.055710068,0.936171219,0.073822682,0.078429335,0.084841539,0.018807349
TCGA-CC-A3MB-01A-11D-A20Z-05,Primary Tumor,0.931830267,0.103136941,0.015198644,0.657807969,0.858305325,0.534692714,0.0544791,0.886276329,0.018457852,0.009216876,0.934219239,0.038885425,0.728942582,0.069709227,0.054739088,0.075555513,0.014592904
TCGA-CC-A3MC-01A-11D-A22H-05,Primary Tumor,0.93608542,0.014767007,0.017128085,0.711567247,0.810693591,0.5451125,0.036268749,0.907874641,0.015471151,0.011139549,0.948398583,0.034086479,0.666918448,0.054388241,0.024691516,0.065970912,0.019078325
TCGA-CC-A5UC-01A-11D-A28Y-05,Primary Tumor,0.908108892,0.064082609,0.017394181,0.743316058,0.79795145,0.719320667,0.055527238,0.917346861,0.019531848,0.013387969,0.934628071,0.044322719,0.854310197,0.082800201,0.046593839,0.063321735,0.021233066
TCGA-CC-A5UD-01A-11D-A28Y-05,Primary Tumor,0.895673683,0.06005392,0.01687472,0.790687464,0.873723126,0.665537955,0.073012745,0.920030037,0.024538932,0.013018223,0.931635466,0.038646812,0.903431197,0.138228772,0.050541304,0.12132326,0.022185803
TCGA-CC-A5UE-01A-11D-A28Y-05,Primary Tumor,0.910081861,0.031245582,0.024675871,0.638992276,0.799379949,0.524203798,0.036423379,0.928717381,0.018123428,0.01569861,0.937515959,0.036951944,0.420498019,0.063048023,0.026800602,0.088203367,0.031108437
TCGA-CC-A7IE-01A-21D-A383-05,Primary Tumor,0.945415524,0.239610652,0.017784008,0.452253642,0.83985749,0.735919612,0.097082956,0.901821492,0.021000876,0.012154221,0.949372313,0.028258004,0.777041957,0.095668213,0.056433971,0.109767151,0.029546293
TCGA-CC-A7IF-01A-11D-A33L-05,Primary Tumor,0.937315154,0.095109645,0.016497987,0.764239618,0.875534077,0.333073087,0.060303264,0.918270171,0.019658429,0.01058423,0.95027793,0.03693881,0.656725854,0.058717428,0.042490098,0.088401775,0.020572919
TCGA-CC-A7IG-01A-11D-A33L-05,Primary Tumor,0.943589258,0.062153497,0.01241203,0.759492086,0.887941176,0.74980132,0.06709488,0.908498863,0.017238779,0.010267703,0.93871915,0.03415191,0.910980944,0.068796712,0.084055812,0.098068941,0.019234962
TCGA-CC-A7IH-01A-11D-A33L-05,Primary Tumor,0.9114664,0.073056011,0.012372927,0.789739995,0.913350654,0.55181154,0.041887811,0.886124673,0.015618577,0.0116394,0.944121949,0.041825968,0.876322388,0.065585522,0.030546568,0.077488618,0.017643409
TCGA-CC-A7II-01A-11D-A33L-05,Primary Tumor,0.914935518,0.04950918,0.016999127,0.464781924,0.728353461,0.628674357,0.083713307,0.848841348,0.017903088,0.011119051,0.908405332,0.033106778,0.871409676,0.065635806,0.042728242,0.08788424,0.023095407
TCGA-CC-A7IJ-01A-11D-A341-05,Primary Tumor,0.916172307,0.094661415,0.016679751,0.825907928,0.901935887,0.785222547,0.048707814,0.935366032,0.021448468,0.009911612,0.93273094,0.047775538,0.948307189,0.062989275,0.054030309,0.077700789,0.018172105
TCGA-CC-A7IK-01A-12D-A341-05,Primary Tumor,0.93432304,0.120913753,0.016266821,0.540861364,0.725441376,0.431821439,0.064345238,0.804181073,0.018119613,0.010684678,0.906869546,0.0414821,0.376108468,0.061392324,0.026224283,0.077599305,0.019630144
TCGA-CC-A7IL-01A-11D-A341-05,Primary Tumor,0.496150157,0.099579577,0.017354863,0.564320448,0.822964151,0.20059053,0.056566273,0.865802016,0.016084317,0.012323716,0.69978843,0.047826799,0.607313511,0.056841715,0.031866843,0.076000759,0.02144494
TCGA-CC-A8HS-01A-11D-A369-05,Primary Tumor,0.889509173,0.028013497,0.019525981,0.822103127,0.151137278,0.748876127,0.027255929,0.893667994,0.021711234,0.012951298,0.945788544,0.031356147,0.772805554,0.040618759,0.033548609,0.087904719,0.019317597
TCGA-CC-A8HT-01A-11D-A369-05,Primary Tumor,0.917070448,0.076981113,0.017337663,0.585884122,0.853463609,0.677838868,0.040418267,0.895889016,0.015896218,0.013469896,0.926908416,0.059802668,0.628662194,0.051818293,0.042975634,0.079720107,0.021866509
TCGA-CC-A8HU-01A-11D-A369-05,Primary Tumor,0.880182691,0.021731243,0.018704097,0.716326755,0.840388543,0.348467278,0.042499575,0.920093702,0.020446231,0.017566167,0.920078013,0.052001708,0.800664268,0.074750829,0.038406681,0.077116486,0.018483732
TCGA-CC-A8HV-01A-11D-A369-05,Primary Tumor,0.879414982,0.078217229,0.016880378,0.780720069,0.879109723,0.472886301,0.042890261,0.938177239,0.022196892,0.014855396,0.927246967,0.061019796,0.926783027,0.056382858,0.03988478,0.059365243,0.020782217
TCGA-CC-A9FS-01A-11D-A36Y-05,Primary Tumor,0.837342755,0.017756295,0.01959838,0.606089533,0.92932498,0.799852603,0.031664083,0.931626923,0.023491824,0.013827368,0.940359944,0.03856127,0.918697114,0.042786914,0.034218369,0.058578753,0.019718367
TCGA-CC-A9FU-01A-11D-A36Y-05,Primary Tumor,0.888175932,0.01802138,0.018133721,0.506545366,0.844193606,0.54151582,0.038163369,0.935131676,0.020460177,0.012049756,0.938233202,0.035415973,0.817509756,0.050238104,0.041200608,0.057830115,0.016362651
TCGA-CC-A9FV-01A-11D-A36Y-05,Primary Tumor,0.86651653,0.031910103,0.017864666,0.667669897,0.884140388,0.811685313,0.045869524,0.92452803,0.022487068,0.011105295,0.921412741,0.04497062,0.871472945,0.072848059,0.039537482,0.079771441,0.026671818
TCGA-CC-A9FW-01A-11D-A36Y-05,Primary Tumor,0.858748888,0.073661567,0.014889803,0.574720209,0.897917145,0.681353453,0.121179481,0.869143097,0.024738488,0.01264828,0.928966424,0.05039553,0.917923904,0.052960651,0.042575619,0.082590961,0.021587936
